第1列,单词,释义
数学,tangent,n.切线，切面。
数学,tangential,adj.切线的，正切的；离题的，扯远的。
数学,tangentially,adv.无关地；切线地
天气,mild,暖和的(温和的)，食物不辣的
天气,aridity,"n. 枯燥, 干旱, 贫瘠, arid 干旱的, 枯燥的  moist 潮湿的"
天气,drought,n.干旱，旱灾，枯竭。
天气,humid,adj. 潮湿的，湿热的
天气,sear,"v. 烤焦；使……枯萎；干枯。adj.枯萎的；烤焦的  n.烙印；烧焦痕迹
China has vast deserts, ranging from searing heat to mind-numbing cold 中国有广袤的沙漠，从酷热难耐到寒冷刺骨。"
,ambiguous,adj. 模棱两可的，含糊不清的
,ambiguity,n.模棱两可
,equivocal,adj. 模棱两可的.
,unequivocal,adj. 表达明确的，毫不含糊的
,ambitious,adj. 有野心的，有雄心的；费力的；耗资的
,arbitrary,adj.任意的，专断的，随心所欲的
,provocative,adj.挑衅的，煽动性的；挑逗的，激发性欲的；引发思考的。n.刺激物，挑拨物。
,anticipate,v. 预期，预料；期待（尤指好事）；先于…之前（做）。= foresee 预见。= expect 期望
,participate,参与
,appropriate,"adj. 适当的，相称的 v. 拨出（款项）；占用
proper 适当的"
,appreciate,感激，欣赏
,apt,adj. 恰当的；有…倾向的；聪明的 (she is apt to take offence easily)
心理学与哲学,psychology,n.心理学，心理特点，心理状态；心计，善解人意
心理学与哲学,psychological,adj.心理的，精神的；心理学的
心理学与哲学,psychic,n.通灵者，灵媒，巫师。adj.精神的，心灵的；灵魂的
心理学与哲学,psyche,n.灵魂；心智
心理学与哲学,physio,n.理疗，物理疗法
心理学与哲学,physiological,adj.生理的，生理学的，生理机能的
心理学与哲学,philosophy,哲学
抛,flip,"抛掷，快速翻阅，轻率的，无礼的。(翻书、翻牌、翻牛排，都是 flap。flip a coin, flip over 翻转。)"
抛,flap,摆动，振翅，忧虑，激动 (the bird flapped and flew away) a flap on the face 一记耳光。
线,string,普通用词，指捆绑小件物品的细绳或细带子。
线,rope,指用于捆绑大物件的粗壮而坚固的绳子，一般用绵、毛、麻、金属或其它材料制成。
线,line,普通用词，含义广泛，指任何一种线，常作引申用。
线,cord,指比string粗，比rope细，较牢固，通常用于捆扎较小物品的线或绳。用作引申当约束讲。(power code 电线)
线,thread,普通用词，指用棉、毛、丝或纤维等纹成的很细的线，通常用于缝纫、纺织等。
线,wire,专指用金属制成的线。
隐藏,conceal,正式用词，多强调有目的、有意识，巧妙地进行隐藏或隐瞒。
隐藏,hide,普通用词，既可指有意地隐藏，又可指无意或偶然地藏匿。hide-and-seek  捉迷藏
隐藏,screen,指把处于被发现的人或物掩盖起来，使其不被发现。
皮，皮肤,skin,最常用词，指人的皮肤或动物的皮，也可指水果、植物和种子等的外皮。
皮，皮肤,leather,通常指经过加工的熟皮，可用于制作各种皮革制品。
皮，皮肤,fur,现多指猫、兔等动物软毛皮，也指其它动物的毛皮。
皮，皮肤,hide,多指大型动物的厚皮，也指没有鞣的牛、马等皮革。
皮，皮肤,peel,指剩下的或可以剥去的果皮或蔬菜皮。
革新,innovation,n. 创新，革新；新观念；新方法 (innovation and breakthrough 创新和突破)
革新,revolution,"革命 旋转; 运行, 公转。It was a simple act but nothing short of a revolution for me 这是很简单的行为，但对我来说，无异于一场革命。"
革新,renovation,n.修复，革新，修整（房子等 ）
革新,renovate,v.修复，翻新
疾病,acute,
疾病,chronic,慢性的，固有的。
疾病,trauma,n.外伤，精神创伤，痛苦经历。trauma surgery 创伤外科。deal with his trauma of marriage breakdown.
疾病,traumatic,adj.经历痛苦难忘的，外伤的。post-traumatic stress 创伤后应激障碍
疾病,symptom,"n.症状，征兆。symptom of.. ..的征兆。前缀 sym=syn 表示同时的。
symbol n. 象征。symbolize v.象征。"
疾病,symphony,"交响乐。
alleviate her pain = relieve"
疾病,amputate,v.截肢
疾病,sore,"n.伤处，痛处，疮；伤心事 adj.(发炎)疼痛的，酸痛的；(精神上)痛苦的，困扰的。sore throat 咽喉痛。His feet were sore 脚疼
sorely adv.疼痛的；非常，剧烈地。It's sorely urgent. You will be sorely mistaken 你会犯严重的错误。"
疾病,tickle,"n.痒(感)；呵痒，胳肢。v.使觉得痒，挠(某人的)痒；(使) 发痒；使满足，使高兴；使高兴；
tackle v.应付，解决"
疾病,bloat,n.膨胀; 过度，过量。v.使膨胀，肿胀；腌制。adj.肿胀的，鼓起的；饮食过度的。code bloat 代码膨胀。
疾病,bloated,adj.(身体部位)肿起的，臃肿的；生活奢侈的；饮食过度的
疾病,impotency,n.无力；无效；无法可想；性无能。male impotency 男性无能
疾病,impotence,n.阳痿，虚弱，无效。
疾病,dysfunction,n.v 功能紊乱，机能障碍，功能失调。erectile dysfunction 勃起功能障碍
疾病,plague,n.瘟疫，传染病；鼠疫；v.困扰，折磨；烦扰，纠缠；使得灾祸
治疗，疾病,cure,主要指治愈疾病。
治疗，疾病,treat,普通用词，指接受并诊治病人。
治疗，疾病,heal,v. 治愈，康复；调停
治疗，疾病,heal,侧重指治愈伤口、伤痛如灼伤等。
治疗，疾病,remedy,着重用药物对病人进行治疗。
治疗，疾病,antidote,n.解毒药；矫正方法，对策。
治疗，疾病,therapy,n.治疗，疗法
治疗，疾病,vaccine,n.疫苗 adj.疫苗的，菌苗的
治疗，疾病,vaccination,n.疫苗接种
治疗，疾病,dosage,n.剂量，用量。
治疗，疾病,dose,n. 一剂，一服；一次，一点。v.给..服药，掺入。
治疗，疾病,placedo,n.安慰剂，宽心话，安抚话
治疗，疾病,insomnia,失眠
治疗，疾病,infection,发炎，传染病
治疗，疾病,infect,v.传染，浸染，污染，败坏，感染（病毒等）
治疗，疾病,disinfect,v.给..杀菌，给..消毒。We use 氯气 to disinfect the water.
治疗，疾病,ailment,小病
治疗，疾病,hypnosis,n.催眠，催眠状态
治疗，疾病,sprain,v.扭伤（关节）n.扭伤
治疗，疾病,ward,病房
治疗，疾病,complication,并发症
治疗，疾病,degenerative,"adj.（疾病）恶化的，变性的；退化的，变坏的
generative adj.有生产力的，有生殖力的"
人体,artery,"n. 动脉, 干线"
人体,astray,迷途的
人体,vein,静脉
人体,lung,肺
人体,allergy,"过敏，过敏反应；厌恶，反感。用 energy来记。
allergic 过敏的。I can't eat shrimp, I'm allergic.
allergetic 引起过敏的"
人体,inflamed,adj.发炎的；红肿的 v.使发炎；使燃烧；使火红；激起
人体,immune system,免疫系统
人体,ankle,脚踝
人体,cervical,adj. 颈的，子宫颈的
人体,chin,n.下巴，聊天，引体向上
人体,vessel,血管，容器，船
人体,vascular,血管 (拉丁)
人体,cardiac a.,心脏的 n.强心剂，强胃剂
人体,cardiovascular,adj. 心血管的
人体,congest,淤血，充血
人体,thigh,大腿
人体,sinew,筋，肌腱
人体,wrinkle,皱纹
人体,wrist,手腕
人体,gland,腺
人体,anus,肛门
人体,membrane,n.（动植物的）膜
人体,receptor,n.受体，感受器；感觉器官。
人体,uterus,n.子宫
人体,knuckle,n.（人的）关节，（动物的）膝关节，踝
人体,intestine,"n.肠。I just feel like someone reached down my throat, grabbed my small intestine."
人体,love handles,小肚腩，腰上的赘肉
人体,pelvis,骨盆
人体,cavity,n.洞，腔；(牙齿的) 龋洞。anal cavity，rectal cavity 直肠腔。
医学,dystrophy,n. 营养障碍；营养不良
医学,swelling,n.肿块。v.肿胀。
医学,hormone,n.荷尔蒙，激素。adj.激素的。可以用复数。Strip joint! You're single! Have some hormones! (Friends S0101)
医学,hump,n.驼峰，驼背 v.搬运（尤指背负）。a humped back 驼背。So does he has a hump? A hump with hairpiece? (friends 01)
医学,ketosis,酮病
医学,ketone,酮
医学,ketogenic,生酮的，能转化为酮的
医学,glycogen,糖原，动物淀粉
医学,glucose,葡萄糖
医学,insulin,胰岛素
医学,dementia,n.痴呆，精神错乱
医学,epilepsy,癫痫
医学,dopamine,多巴胺
医学,dissect,v.解剖；剖析，详细评论(某事物)。dissect his work and questions his motives 剖析他的作品，质疑他的动机。
医学,anatomy,n.解剖学；解剖结构；剖析，详细分析；原因，成因；骨骼
姿势,hunker,vi.蹲下，盘坐。
,lifeblood,生命线，命根子，命脉。The transit system is the lifeblood for so many people.
,mortality,n.死亡人数，死亡率；必死性，终有一死；死亡。
服装,blouse,女式短上衣，衬衫
服装,costume,n.服装，装束；戏服；泳装。v.穿上戏服。
吸收,assimilate,"v. 吸收, 消化, 透彻理解, （使）同化 (immigrants assimilate into new culture) = integrate(融入，同化)"
吸收,absorb,吸收
迷失,astray,"adv. 迷路, 堕落 adj. 迷途的 (astray lamb)"
迷失,stray,v. 迷路，走失；偏离正题；走神 (stray into a wrong path)  adj. 走失的；零星的 n. 离群者；走散者；走失的宠物或家畜 (he strayed into the path of an oncoming car)
,biography,传记
,biology,生物学
,bibliography,参考书目
,blunt,adj 钝的，坦言的(形容人时并不是愚钝而是直爽)。v.使减弱，使变钝。n.钝器。blunt refusal 断然拒绝。=dull（钝的）
,brunt,"n. (来自攻击一方的)主要力量[冲势,压力], 突击 (bore the brunt of recession)"
,blend,混合
小册子,pamphlet,小册子
小册子,brochure,小册子
小册子,booklet,小册子
小册子,leaflet,n. 宣传册；传单 v. 散发传单（或小册子）
小册子,flyer,n.宣传单
工具,bucket,桶
工具,barrel,n. 桶; 一桶(的量); 枪管; 笔杆
工具,spade,指用于挖土刨地的铲子或铁锹。
工具,shovel,n.v. 铲，铲斗，铲起。指用铲煤块、煤渣、沙雪或糖等铲子 (dug a hole with a shovel)
工具,barrel,n. 桶; 一桶(的量); 枪管; 笔杆
工具,sponge,n.海绵 v.用湿布或海绵擦洗 foam 泡沫，海绵橡胶
工具,spoon,勺子
工具,scoop,n.勺，铲，铲斗。v.用勺舀，用铲子挖；急速地捡起，抱起
工具,pail,n.桶，提桶，一桶的量
工具,hinge,n.v.铰链（屏轴也是）
大量，大块,bunch,"n. 束, 串, 扎, 大量, 一伙, 一群 v. 成皱褶 (a bunch of bananas / grapes / herbs / flowers / keys)"
大量，大块,chunk,"n. 大块；相当大的部分（或数量）(a chunk of bread/meat 一大块面包, a good chunk of time 大把时间)"
金属,calcium,
金属,copper,
金属,aluminum,
金属,lead,带领；铅
金属,alloy,n.v. 合金
,calibre,/ caliber n. （人的）能力，质量；（枪炮的）口径；（子弹的）直径 (a high calibre of students)
,calibration,n. 校准，标准化；刻度，标度；测量口径
,calibrate,v.校准，标定；精确测量 ，准确估量。
文化,indigenous,adj.本土的，固有的，土著的。indigenous people 原住民
大自然，地理,volcano,火山
大自然，地理,tornado,n.龙卷风，大旋风；极具破坏力的人（或物），情感火爆的人。 The tornado that's bearing down on us.
大自然，地理,mantle,披风，地幔。
大自然，地理,crust,面包皮，酥皮，硬外壳，地壳。
大自然，地理,ore,n.矿石，矿砂
大自然，地理,hurricane,n. 飓风，飓风般猛烈的东西
大自然，地理,seismic,adj 地震的，地震引起的；影响深远的，重大的
大自然，地理,cliff,悬崖，峭壁
树林,forest,多指树木高大，面积大、人迹罕至的原始森林。
树林,woods,指面积不大的树林或小块的树林。
树林,jungle,特指热带的丛林。
树林,grove,通常指面积较小，树木整齐，地面干净的小树林，尤指果林。
树林,plantation,指人造林。
树林,bushes,指灌木丛，矮树林。
树林,timberland,(美)林场。
建筑,cater,"火山口，弹坑,"
建筑,crater,"火山口，弹坑,"
建筑,"chapel,",礼拜堂，小教堂。
建筑,cathedral,大教堂，主教座堂，非常宏伟的那种。adj 庄严的，(像)大教堂的
建筑,castle,城堡
建筑,church,教堂
建筑,cottage,乡村小屋，村舍，乡间小别墅，有花草环绕的那种风格的。cottage garden 村舍花园。
建筑,villa,别墅，城里的豪宅，（附有土地的）乡间庄园。beach villa 沙滩别墅。
建筑,hut,茅屋，简陋的小屋，花园中的木屋，临时工棚。mountain hut 山里的小木屋
建筑,shack,棚屋，简隔的小屋。比如那种高脚屋，比 hut 大一点，可能有多于1个房间。
建筑,dome,圆顶
建筑,furnace,火炉，熔炉（好象偏工业）furniture 家具
建筑,corridor,走廊
建筑,arena,"n. 圆形运动场, 圆形剧场, 斗争场所, 竞争舞台, 活动领域, 竞技场"
建筑,antenna,天线
建筑,amplitheater,"n. 竞技场, 阶梯教室, 阶式剧场[教室], 盆状地形 ampli 有“周围，两者都”的意思"
建筑,auditorium,礼堂
建筑,bungalow,平房
建筑,foyer,门厅
建筑,garage,车库
建筑,lounge,休息大厅
建筑,lobby,n.门厅，休息室，接待室，游说。v.游说。
建筑,aisle,走廊，过道。比如超市货架之间的、公交车上两排坐位之间的。
建筑,dormitory,"宿舍。缩写 dorm
dormant adj. 休眠的；静止的 (a dormant volcano)"
建筑,atrium,中庭，天井
建筑,concourse,广场
市政,drainage,n.排水系统；排水。drainage canals 排水沟渠。
市政,drain,n.下水道；流失，消耗。v.排干，喝光。
市政,mortar,砂浆；迫击炮
市政,escalator,"自动扶梯
elevator = lift（英）升降电梯。freight elevator 货梯
moving walkway = travelator （英） 自动人行道"
市政,stairs,楼梯。steps 台阶。比如门口的几级台阶。
市政,ramp,建筑物门口供轮椅上下的斜坡，称为 ramp
市政,manhole,道路上的各类管井，人孔，检修井。manhole cover 井盖
市政,slum,贫民窟
市政,detour,n. 绕行，迂回；<美>（常用道路暂时封闭时的）临时绕行道路  v.<美>（使）绕道，绕行；绕过，绕……走
交通设施,pothole,凹坑，比如路面上的坑洼，积水的那种。
交通设施,zebra crossing,斑马线
交通设施,crossroads,十字路口
交通设施,underpass,地下通道
交通设施,commute,"n.v 通勤, 减刑, 代偿"
交通设施,commuter,n.通勤者
交通设施,roundabout,n.环岛，转盘
交通设施,curb,n.马路牙子。n.v.控制，抑制。
交通设施,pedestrian,"n. 行人，步行者 adj. 行人的；缺乏想象力的，乏味的
(pedestrian street 人行道 pedestrian crossing 人行横道 pedestrian bridge 人行天桥)"
交通设施,speed bump,减速带
交通设施,impede,v.妨碍，阻碍 Don't drive at a low speed that impedes traffic
房间,lavatory,厕所，卫生间 lava: 岩浆
房间,toilet,厕所，马桶
房间,cloakroom,衣帽间，洗手间 cloak=斗篷
房间,bedsit,（卧室兼起居室的）小套房
房间,cubicle,n.小卧室；小隔间；小工位。a shower cubicle 淋浴间
房子、院子,terrace,n. 露天平台，阳台；阶梯看台；梯田；阶地。terrace cafe 露天咖啡座 terrace bar 露天酒吧
房子、院子,balcony,露台，阳台；（一般是住宅里面的）
房子、院子,deck,后院的木质露台，指木质或复合材料的，用来休息、摆桌椅、烧烤
房子、院子,patio,后院的地面露台，指地面上用石头、水泥铺的，一般不抬高
房子、院子,porch,前廊
房子、院子,flower bed,花坛
房子、院子,shed,储物小屋
房子、院子,bbq,/ grill 烧烤架
家具,cot,简易床，小屋
家具,cabinet,橱柜；内阁
家具,cupboard,碗柜
家具,couch,沙发。
家具,stove,炉子
场所,refectory,"（尤指英国教会团体和学校的）食堂，休息室。
refection n. 消遣, 提神, 小吃, 茶点, = snack"
场所,canteen,"n. 小卖部; 食堂, 餐厅; （士兵、旅游者等用的）水壶. 用看停记。(staff canteen 员工食堂)."
场所,chemist's,药店
,refection,"n. 消遣, 提神, 小吃, 茶点. refectory"
,confection,"n.甜食, 蜜饯 ( I have no tooth for confection 我不喜欢吃甜食)"
,confectionary,"甜食, 蜜饯, 糖果点心"
,confect,"v. 配制；调制；混合. 用一起做记， fect 有做的意思。
infect 感染，confess 承认"
,reflection,"n. 反射; 映像, 倒影; 反映; 表达, 抒发; (see her reflection in the water,)"
,deflect,v.使转向，使偏斜，使弯曲；转向，偏斜。deflecting the missiles 使导弹偏离。
,flection,n.弯曲，屈曲；弯曲的部分
,contempt,"n.蔑视, 轻蔑, 鄙视, （对规则、危险等的）藐视"
,concise,简明的，简洁的
,confer,v.授予，赋予；商讨，交换意见。Success is a label that the world confers upon you.
,confine,v. 把…局限于；把…限制于；监禁，禁闭；限制，阻止；限制，使离不开（尤因生病）。Confining the plasma (等离子体）is very hard to do.
,confect,v. 配制；调制
,confection,"n.甜食, 蜜饯"
,console,v. 安慰；抚慰；慰藉 n.(机器、电子设备等的）控制台，操纵台，仪表板. (He consoled her with flowers)
,consolation,"n. 安慰；慰问 (If it's of any consolation to you, you are not the only one losing money.)"
,consent,"n.v 同意，许可 (give consent to his marriage, common consent 一致认同)，指同意别人的请求、建议或满足他人的愿望，着重意愿或感情，常和to连用。多用于上下级之间，
resent 怨恨"
,consensus,"n. 一致的意见, 共识"
,contemporary,"adj. 当代的；同时代的 n. 同时代的人
temporary 暂时的"
,contempt,"n.蔑视, 轻蔑, 鄙视, （对规则、危险等的）藐视"
,contemplate,v.思考，考虑（接受），深思，盘算，预期，注视。
,contentment,n.满足，满意。cententment leads to happiness 知足常乐。
,contingency,n. 偶然，可能性；意外事件；紧急事件
,concession,n. 让步，妥协；认输；价格优惠，减价 (we will make some concession in price)
,confession,n. 坦白，承认，供词。
,confess,v.供认，坦白。confession n.
,converge,"v.集中，汇集，相交。Three powerful forces (Neural networks, big data and GPUs) converged for the first time."
,condemn,v.谴责、宣判。
,convict,v.定罪，宣判..有罪。
,conviction,n.定罪，判罪。信念，坚定，深信。moral conviction 道德信念。
,consequent,adj. (逻辑上) 随之发生的，由此引起的
,consequence,n.后果，结果，重要性，价值
,consequently,adv.因此，结果
,consummate,adj.技艺高超的，完美的。v.完成，使完美。反：amateurish。summit 顶点。记：加起来。
,condone,v.宽恕，原谅，容忍。condone a person's fault.
,conduce,"有助于，导致。同义词 contribute to, lead to. Money and beauty do not always conduce to happiness."
,conducive,"有助于..的，有益的。同义 helpful, beneficial, profitable, advantageous.A noisy room is not a conducive atmosphere for studying."
,conductive,能导电的，能传热的。注意不要与conducive 混淆。
,condescend,v.屈尊，俯就，表现出优越感。(贬义)
,condescending,adj.居高临下的，表现出优越感的。v.表现出优越感。He is really condescending to me.
,conceive,"v.想象,构思,怀孕=pregnant。conceive a hatred 怀恨在心。conceive prejudices 抱有偏见。
That is There is a 20-year waiting list, so you have to put your child on the list as soon as they are conceived (马斯克说的是东德的汽车）（用 There is 来引出存在的事实，更符合常见的句子结构，不用 that is）"
,conceivable,adj.可想到的，可相信的，可想象的。It is hardly conceivable that she should do such a thing.
,conceit,n.自负。I can say without conceit that i have talent。in one's own conceit 自以为是。
,concept,观点
,conception,n.构思，设想，观点，怀孕，受孕。beyond conception 不可思议。
,convene,v.召集，召唤，聚焦，集合，召开
,concede,v.(通常是不情愿地) 承认；认输，承认失败；授予，让与；让对手得分
,concentrate,v.专心，专注于，全神贯注。concentrate on..
,consolidate,v.巩固，加强，联合，统一
,concrete,"n.水泥。adj.确定的，确实的，具体的，有形的。In order to successfully consolidate the team's efforts, we need to concentrate on developing a concrete plan that outlines specific objectives and tasks."
,constellation,n.星座；一群相似的人；
,envision,v.想象，设想。The new destroyer was envisioned in 1994 这种新型驱逐舰是在1994年被设想出来的。
,combustion,燃烧
,comply,"v. 遵从；服从；顺从 (she was told to pay the fine, but refused to comply) to comply with the law."
,comfy,adj 舒服的
,compose,"v. 组成；写作；作曲；使镇静. (The human body is composed of about 60% water).
decompose v. 腐烂；（使）分解
discompose v. 扰乱，使不安，使心烦意乱 (the bad news discomposed me)"
,compost,n.v. 堆肥，混合物。
,composure,n. 镇静；沉着
,composition,"n. 作文,著作,组织,合成物，成份 = ingredient 成份,配料。照片的构图。"
,compilation,n.编写，编纂，选编。
,compulsory,义务的，强制的
,complement,"v.补充，补足 n.补足物，衬托物；足数，足额；补语；余角；
Bylaws complement major laws by addressing(处理、应对、着手解决) local or specific issues, so bylaws are supplementary to major laws."
良知,conscience,"n.良知，良心；内疚，愧疚。conscience forum 道德法庭。
have a clear conscience 问心无愧。have a guilty conscience 良心不安。"
良知,conscious,adj.意识到的；神志清醒的，有知觉的；
良知,consciousness,n.知觉，清醒；思想，意识。He may never regain consciousness 她可能永远也醒不过来了。
宗教,Catholic a.,天主教的；[c-]普遍的 n.天主教徒
宗教,desecrate,"v.亵渎。desecrate the picture of a religious leader.
crate 板条箱。crater 火山口，弹坑。"
宗教,consecrate,"v. 奉献，献祭。
concentrate 专注于"
宗教,sacred,adj.神圣的，受尊重的。sacr = holy 表示神圣
宗教,profane,adj.世俗的，亵渎的，异教的。v.亵渎。
